Train Epoch: [1/30] Iters:[810/1093] gen_loss 0.2225, rec_loss 0.0124, lpips_loss 0.1473, g_loss 0.0153, disc_weight 0.4000, disc_adaptive_weight 4.0724, d_loss 0.4321, logits_real -0.0197, logits_fake -0.0153,
Train Epoch: [1/30] Iters:[820/1093] gen_loss 0.2272, rec_loss 0.0125, lpips_loss 0.1477, g_loss 0.0161, disc_weight 0.4000, disc_adaptive_weight 4.1342, d_loss 0.4315, logits_real -0.0203, logits_fake -0.0161,
Train Epoch: [1/30] Iters:[830/1093] gen_loss 0.2400, rec_loss 0.0125, lpips_loss 0.1483, g_loss 0.0170, disc_weight 0.4000, disc_adaptive_weight 4.6096, d_loss 0.4309, logits_real -0.0212, logits_fake -0.0170,
Train Epoch: [1/30] Iters:[840/1093] gen_loss 0.2443, rec_loss 0.0124, lpips_loss 0.1481, g_loss 0.0176, disc_weight 0.4000, disc_adaptive_weight 4.7439, d_loss 0.4303, logits_real -0.0219, logits_fake -0.0175,
Train Epoch: [1/30] Iters:[850/1093] gen_loss 0.2469, rec_loss 0.0125, lpips_loss 0.1481, g_loss 0.0181, disc_weight 0.4000, disc_adaptive_weight 4.7510, d_loss 0.4297, logits_real -0.0226, logits_fake -0.0179,
Train Epoch: [1/30] Iters:[860/1093] gen_loss 0.2511, rec_loss 0.0127, lpips_loss 0.1489, g_loss 0.0186, disc_weight 0.4000, disc_adaptive_weight 4.8006, d_loss 0.4292, logits_real -0.0232, logits_fake -0.0184,
Train Epoch: [1/30] Iters:[870/1093] gen_loss 0.2528, rec_loss 0.0125, lpips_loss 0.1487, g_loss 0.0190, disc_weight 0.4000, disc_adaptive_weight 4.8159, d_loss 0.4284, logits_real -0.0237, logits_fake -0.0189,
Train Epoch: [1/30] Iters:[880/1093] gen_loss 0.2480, rec_loss 0.0125, lpips_loss 0.1484, g_loss 0.0192, disc_weight 0.4000, disc_adaptive_weight 4.5158, d_loss 0.4275, logits_real -0.0239, logits_fake -0.0191,
Train Epoch: [1/30] Iters:[890/1093] gen_loss 0.2480, rec_loss 0.0126, lpips_loss 0.1488, g_loss 0.0195, disc_weight 0.4000, disc_adaptive_weight 4.4300, d_loss 0.4269, logits_real -0.0243, logits_fake -0.0196,
Train Epoch: [1/30] Iters:[900/1093] gen_loss 0.2454, rec_loss 0.0126, lpips_loss 0.1490, g_loss 0.0200, disc_weight 0.4000, disc_adaptive_weight 4.1849, d_loss 0.4263, logits_real -0.0248, logits_fake -0.0201,
Train Epoch: [1/30] Iters:[910/1093] gen_loss 0.2419, rec_loss 0.0125, lpips_loss 0.1490, g_loss 0.0204, disc_weight 0.4000, disc_adaptive_weight 3.9496, d_loss 0.4256, logits_real -0.0251, logits_fake -0.0205,
Train Epoch: [1/30] Iters:[920/1093] gen_loss 0.2455, rec_loss 0.0125, lpips_loss 0.1487, g_loss 0.0210, disc_weight 0.4000, disc_adaptive_weight 4.0135, d_loss 0.4251, logits_real -0.0257, logits_fake -0.0209,
Train Epoch: [1/30] Iters:[930/1093] gen_loss 0.2486, rec_loss 0.0124, lpips_loss 0.1483, g_loss 0.0214, disc_weight 0.4000, disc_adaptive_weight 4.0813, d_loss 0.4246, logits_real -0.0262, logits_fake -0.0215,
Train Epoch: [1/30] Iters:[940/1093] gen_loss 0.2505, rec_loss 0.0124, lpips_loss 0.1480, g_loss 0.0218, disc_weight 0.4000, disc_adaptive_weight 4.0988, d_loss 0.4241, logits_real -0.0264, logits_fake -0.0217,
Train Epoch: [1/30] Iters:[950/1093] gen_loss 0.2584, rec_loss 0.0124, lpips_loss 0.1481, g_loss 0.0221, disc_weight 0.4000, disc_adaptive_weight 4.3989, d_loss 0.4237, logits_real -0.0266, logits_fake -0.0220,
Train Epoch: [1/30] Iters:[960/1093] gen_loss 0.2671, rec_loss 0.0123, lpips_loss 0.1481, g_loss 0.0223, disc_weight 0.4000, disc_adaptive_weight 4.7600, d_loss 0.4232, logits_real -0.0269, logits_fake -0.0223,
Train Epoch: [1/30] Iters:[970/1093] gen_loss 0.2672, rec_loss 0.0123, lpips_loss 0.1484, g_loss 0.0223, disc_weight 0.4000, disc_adaptive_weight 4.7549, d_loss 0.4227, logits_real -0.0269, logits_fake -0.0224,
Train Epoch: [1/30] Iters:[980/1093] gen_loss 0.2617, rec_loss 0.0124, lpips_loss 0.1490, g_loss 0.0224, disc_weight 0.4000, disc_adaptive_weight 4.4463, d_loss 0.4223, logits_real -0.0271, logits_fake -0.0224,
Train Epoch: [1/30] Iters:[990/1093] gen_loss 0.2657, rec_loss 0.0124, lpips_loss 0.1487, g_loss 0.0227, disc_weight 0.4000, disc_adaptive_weight 4.5919, d_loss 0.4217, logits_real -0.0272, logits_fake -0.0227,
Train Epoch: [1/30] Iters:[1000/1093] gen_loss 0.2629, rec_loss 0.0124, lpips_loss 0.1482, g_loss 0.0228, disc_weight 0.4000, disc_adaptive_weight 4.4742, d_loss 0.4211, logits_real -0.0272, logits_fake -0.0228,
Train Epoch: [1/30] Iters:[1010/1093] gen_loss 0.2597, rec_loss 0.0124, lpips_loss 0.1479, g_loss 0.0231, disc_weight 0.4000, disc_adaptive_weight 4.2931, d_loss 0.4207, logits_real -0.0274, logits_fake -0.0231,
Train Epoch: [1/30] Iters:[1020/1093] gen_loss 0.2638, rec_loss 0.0125, lpips_loss 0.1480, g_loss 0.0234, disc_weight 0.4000, disc_adaptive_weight 4.3882, d_loss 0.4203, logits_real -0.0277, logits_fake -0.0233,
