Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.1376, rec_loss 0.0288, lpips_loss 0.2052, g_loss -0.0261, disc_weight 0.4000, disc_adaptive_weight 3.6741, d_loss 0.4569, logits_real 0.0245, logits_fake 0.0261,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.1345, rec_loss 0.0286, lpips_loss 0.2043, g_loss -0.0264, disc_weight 0.4000, disc_adaptive_weight 3.7064, d_loss 0.4556, logits_real 0.0246, logits_fake 0.0264,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.1347, rec_loss 0.0283, lpips_loss 0.2051, g_loss -0.0265, disc_weight 0.4000, disc_adaptive_weight 3.6935, d_loss 0.4545, logits_real 0.0249, logits_fake 0.0266,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.1302, rec_loss 0.0282, lpips_loss 0.2049, g_loss -0.0269, disc_weight 0.4000, disc_adaptive_weight 3.8002, d_loss 0.4531, logits_real 0.0255, logits_fake 0.0270,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.1270, rec_loss 0.0280, lpips_loss 0.2044, g_loss -0.0272, disc_weight 0.4000, disc_adaptive_weight 3.8568, d_loss 0.4515, logits_real 0.0258, logits_fake 0.0273,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.1232, rec_loss 0.0278, lpips_loss 0.2044, g_loss -0.0276, disc_weight 0.4000, disc_adaptive_weight 3.9383, d_loss 0.4508, logits_real 0.0260, logits_fake 0.0275,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.1279, rec_loss 0.0281, lpips_loss 0.2057, g_loss -0.0277, disc_weight 0.4000, disc_adaptive_weight 3.8088, d_loss 0.4497, logits_real 0.0263, logits_fake 0.0278,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.1310, rec_loss 0.0283, lpips_loss 0.2054, g_loss -0.0278, disc_weight 0.4000, disc_adaptive_weight 3.6938, d_loss 0.4483, logits_real 0.0265, logits_fake 0.0280,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.1295, rec_loss 0.0285, lpips_loss 0.2056, g_loss -0.0279, disc_weight 0.4000, disc_adaptive_weight 3.7473, d_loss 0.4476, logits_real 0.0265, logits_fake 0.0280,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.1287, rec_loss 0.0283, lpips_loss 0.2051, g_loss -0.0280, disc_weight 0.4000, disc_adaptive_weight 3.7450, d_loss 0.4464, logits_real 0.0265, logits_fake 0.0281,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.1344, rec_loss 0.0282, lpips_loss 0.2046, g_loss -0.0279, disc_weight 0.4000, disc_adaptive_weight 3.5318, d_loss 0.4453, logits_real 0.0266, logits_fake 0.0282,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.1361, rec_loss 0.0278, lpips_loss 0.2037, g_loss -0.0278, disc_weight 0.4000, disc_adaptive_weight 3.4269, d_loss 0.4441, logits_real 0.0266, logits_fake 0.0281,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.1333, rec_loss 0.0281, lpips_loss 0.2039, g_loss -0.0279, disc_weight 0.4000, disc_adaptive_weight 3.5330, d_loss 0.4438, logits_real 0.0266, logits_fake 0.0279,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.1408, rec_loss 0.0283, lpips_loss 0.2043, g_loss -0.0278, disc_weight 0.4000, disc_adaptive_weight 3.3002, d_loss 0.4429, logits_real 0.0266, logits_fake 0.0279,
